summary	summary	NOUN	NN		nsubj	False
(	(	PUNCT	-LRB-		punct	False
1	1	NUM	CD	CARDINAL_B	nummod	False
)	)	PUNCT	-RRB-		punct	False
conditions	condition	NOUN	NNS		appos	False
in	in	ADP	IN		prep	True
some	some	DET	DT		det	True
financial	financial	ADJ	JJ		amod	False
markets	market	NOUN	NNS		pobj	False
showed	show	VERB	VBD		ccomp	False
tentative	tentative	ADJ	JJ		amod	False
and	and	CCONJ	CC		cc	True
limited	limited	ADJ	JJ		conj	False
improvements	improvement	NOUN	NNS		dobj	False
during	during	ADP	IN		prep	True
the	the	DET	DT		det	True
intermeeting	intermeete	VERB	VBG		amod	False
period	period	NOUN	NN		pobj	False
;	;	PUNCT	:		punct	False
nevertheless	nevertheless	ADV	RB		advmod	True
,	,	PUNCT	,		punct	False
extraordinary	extraordinary	ADJ	JJ		amod	False
stresses	stress	NOUN	NNS		nsubj	False
remained	remain	VERB	VBD		ROOT	False
and	and	CCONJ	CC		cc	True
concerns	concern	NOUN	NNS		nsubj	False
about	about	ADP	IN		prep	True
financial	financial	ADJ	JJ		amod	False
institutions	institution	NOUN	NNS		pobj	False
increased	increase	VERB	VBD		conj	False
significantly	significantly	ADV	RB		advmod	False
in	in	ADP	IN		prep	True
the	the	DET	DT		det	True
latter	latter	ADJ	JJ		amod	True
part	part	NOUN	NN		pobj	True
of	of	ADP	IN		prep	True
the	the	DET	DT		det	True
period	period	NOUN	NN		pobj	False
.	.	PUNCT	.		punct	False

a	a	DET	DT		det	True
number	number	NOUN	NN		nsubj	False
of	of	ADP	IN		prep	True
credit	credit	NOUN	NN		compound	False
spreads	spread	NOUN	NNS		pobj	False
declined	decline	VERB	VBD		ROOT	False
from	from	ADP	IN		prep	True
the	the	DET	DT		det	True
exceptionally	exceptionally	ADV	RB		advmod	False
high	high	ADJ	JJ		amod	False
levels	level	NOUN	NNS		pobj	False
that	that	DET	WDT		nsubj	True
prevailed	prevail	VERB	VBD		relcl	False
from	from	ADP	IN		prep	True
mid	mid	NOUN	NN	DATE_B	dep	False
-	-	NOUN	NN	DATE_I	dep	False
september	september	PROPN	NNP	DATE_I	pobj	False
