summary	summary	NOUN	NN		compound	False
conditions	condition	NOUN	NNS		nsubj	False
in	in	ADP	IN		prep	True
financial	financial	ADJ	JJ		amod	False
markets	market	NOUN	NNS		pobj	False
showed	show	VERB	VBD		ROOT	False
some	some	DET	DT		det	True
limited	limited	ADJ	JJ		amod	False
signs	sign	NOUN	NNS		dobj	False
of	of	ADP	IN		prep	True
improvement	improvement	NOUN	NN		pobj	False
over	over	ADP	IN		prep	True
the	the	DET	DT		det	True
intermeeting	intermeete	VERB	VBG		amod	False
period	period	NOUN	NN		pobj	False
.	.	PUNCT	.		punct	False

investor	investor	NOUN	NN		compound	False
concerns	concern	NOUN	NNS		nsubj	False
about	about	ADP	IN		prep	True
financial	financial	ADJ	JJ		amod	False
institutions	institution	NOUN	NNS		pobj	False
appeared	appear	VERB	VBD		ROOT	False
to	to	PART	TO		aux	True
ease	ease	VERB	VB		xcomp	False
somewhat	somewhat	ADV	RB		advmod	False
,	,	PUNCT	,		punct	False
with	with	ADP	IN		prep	True
a	a	DET	DT		det	True
number	number	NOUN	NN		pobj	False
of	of	ADP	IN		prep	True
major	major	ADJ	JJ		amod	False
banking	banking	NOUN	NN		compound	False
organizations	organization	NOUN	NNS		pobj	False
posting	post	VERB	VBG		acl	False
better	well	ADJ	JJR		amod	False
-	-	PUNCT	HYPH		punct	False
than-	than-	ADJ	JJ		dep	False
expected	expect	VERB	VBD		amod	False
first	first	ADJ	JJ	DATE_B	amod	True
-	-	PUNCT	HYPH	DATE_I	punct	False
quarter	quarter	NOUN	NN	DATE_I	compound	False
earnings	earning	NOUN	NNS		compound	False
results	result	NOUN	NNS		dobj	False
.	.	PUNCT	.		punct	False

an	an	DET	DT		det	True
index	index	NOUN	NN		nsubj	False
of	of	ADP	IN		prep	True
bank	bank	NOUN	NN		compound	False
equity	equity	NOUN	NN		compound	False
prices	price	NOUN	NNS		pobj	False
rose	rise	VERB	VBD		ROOT	False
notably	notably	ADV	RB		advmod	False
,	,	PUNCT	,		punct	False
outperforming	outperform	VERB	VBG		advcl	False
broad	broad	ADJ	JJ		amod	False
equity	equity	NOUN	NN		compound	False
indexes	index	NOUN	NNS		dobj	False
,	,	PUNCT	,		punct	False
although	although	SCONJ	IN		mark	True
credit	credit	NOUN	NN		compound	False
default	default	NOUN	NN		compound	False
swap	swap	NOUN	NN		nsubj	False
(	(	PUNCT	-LRB-		punct	False
cds	cd	NOUN	NNS		appos	False
)	)	PUNCT	-RRB-		punct	False
spreads	spread	VERB	VBZ		advcl	False
for	for	ADP	IN		prep	True
large	large	ADJ	JJ		amod	False
banking	banking	NOUN	NN		compound	False
organizations	organization	NOUN	NNS		pobj	False
were	be	AUX	VBD		auxpass	True
little	little	ADV	RB		advmod	False
changed	changed	ADJ	JJ		conj	False
,	,	PUNCT	,		punct	False
on	on	ADP	IN		prep	True
net	net	NOUN	NN		pobj	False
,	,	PUNCT	,		punct	False
at	at	ADP	IN		prep	True
elevated	elevated	ADJ	JJ		amod	False
levels	level	NOUN	NNS		pobj	False
.	.	PUNCT	.		punct	False

rates	rate	NOUN	NNS		nsubj	False
on	on	ADP	IN		prep	True
short	short	ADJ	JJ		amod	False
-	-	PUNCT	HYPH		punct	False
term	term	NOUN	NN		compound	False
funding	funding	NOUN	NN		compound	False
instruments	instrument	NOUN	NNS		pobj	False
generally	generally	ADV	RB		advmod	False
edged	edge	VERB	VBD		ROOT	False
lower	low	ADJ	JJR		advmod	False
,	,	PUNCT	,		punct	False
and	and	CCONJ	CC		cc	True
functioning	function	VERB	VBG		conj	False
in	in	ADP	IN		prep	True
markets	market	NOUN	NNS		pobj	False
for	for	ADP	IN		prep	True
these	these	DET	DT		det	True
instruments	instrument	NOUN	NNS		pobj	False
improved	improve	VERB	VBD		conj	False
.	.	PUNCT	.		punct	False

nevertheless	nevertheless	ADV	RB		advmod	True
,	,	PUNCT	,		punct	False
market	market	NOUN	NN		compound	False
participants	participant	NOUN	NNS		nsubj	False
appear	appear	VERB	VBP		ROOT	False
to	to	PART	TO		aux	True
remain	remain	VERB	VB		xcomp	False
concerned	concerned	ADJ	JJ		acomp	False
about	about	ADP	IN		prep	True
the	the	DET	DT		det	True
methodology	methodology	NOUN	NN		pobj	False
and	and	CCONJ	CC		cc	True
results	result	NOUN	NNS		conj	False
of	of	ADP	IN		prep	True
the	the	DET	DT		det	True
stress	stress	NOUN	NN		compound	False
tests	test	NOUN	NNS		pobj	False
for	for	ADP	IN		prep	True
banks	bank	NOUN	NNS		pobj	False
and	and	CCONJ	CC		cc	True
potential	potential	ADJ	JJ		amod	False
policy	policy	NOUN	NN		compound	False
responses	response	NOUN	NNS		conj	False
to	to	ADP	IN		prep	True
the	the	DET	DT		det	True
results	result	NOUN	NNS		pobj	False
.	.	PUNCT	.		punct	False

yields	yield	NOUN	NNS		nsubj	False
on	on	ADP	IN		prep	True
nominal	nominal	PROPN	NNP	ORG_B	amod	False
treasury	treasury	PROPN	NNP	ORG_I	compound	False
securities	security	NOUN	NNS		pobj	False
decreased	decrease	VERB	VBD		ROOT	False
modestly	modestly	ADV	RB		advmod	False
,	,	PUNCT	,		punct	False
on	on	ADP	IN		prep	True
net	net	NOUN	NN		pobj	False
,	,	PUNCT	,		punct	False
over	over	ADP	IN		prep	True
the	the	DET	DT		det	True
intermeeting	intermeete	VERB	VBG		amod	False
period	period	NOUN	NN		pobj	False
.	.	PUNCT	.		punct	False

yields	yield	NOUN	NNS		nsubj	False
dropped	drop	VERB	VBD		ROOT	False
appreciably	appreciably	ADV	RB		advmod	False
following	follow	VERB	VBG		prep	False
the	the	DET	DT		det	True
fomc	fomc	ADJ	JJ		amod	False
announcement	announcement	NOUN	NN		dobj	False
on	on	ADP	IN		prep	True
march	march	PROPN	NNP	DATE_B	pobj	False
18	18	NUM	CD	DATE_I	nummod	False
that	that	SCONJ	IN		mark	True
the	the	DET	DT	ORG_B	det	True
federal	federal	PROPN	NNP	ORG_I	compound	False
reserve	reserve	PROPN	NNP	ORG_I	nsubj	False
would	would	VERB	MD		aux	True
purchase	purchase	VERB	VB		ccomp	False
up	up	ADP	IN	MONEY_B	quantmod	True
to	to	PART	TO	MONEY_I	quantmod	True
$	$	SYM	$	MONEY_I	quantmod	False
300	300	NUM	CD	MONEY_I	compound	False
billion	billion	NUM	CD	MONEY_I	dobj	False
of	of	ADP	IN		prep	True
longer-	longer-	ADJ	JJ		nummod	False
term	term	NOUN	NN		compound	False
treasury	treasury	PROPN	NNP	ORG_B	compound	False
securities	security	NOUN	NNS		pobj	False
and	and	CCONJ	CC		cc	True
increase	increase	VERB	VB		conj	False
its	-PRON-	DET	PRP$		poss	True
purchases	purchase	NOUN	NNS		dobj	False
of	of	ADP	IN		prep	True
agency	agency	NOUN	NN		compound	False
debt	debt	NOUN	NN		pobj	False
and	and	CCONJ	CC		cc	True
agency	agency	NOUN	NN		compound	False
mortgage	mortgage	NOUN	NN		npadvmod	False
